Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanBossuytAnneleen	Van Bossuyt, Anneleen	F	1980	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanBossuytAnneleen	Van Bossuyt, Anneleen	F	1980	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	CogolatiSamuel	Cogolati, Samuel	M	1989	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PonthierAnnick	Ponthier, Annick	F	1971	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DeMaegdMichel	De Maegd, Michel	M	1969	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DeVuystSteven	De Vuyst, Steven	M	1987	
