Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LeysenChristian	Leysen, Christian	M	1954	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LeysenChristian	Leysen, Christian	M	1954	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	deLaveleyeSéverine	de Laveleye, Séverine	F	1976	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	BuystKim	Buyst, Kim	F	1976	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2022-01-25-definitief-55-commissie-ic667x	ParlaMint-BE_2022-01-25-definitief-55-commissie-ic667x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-01-2022	2022-01-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	BombledChristophe	Bombled, Christophe	M	1973	
