Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	KathalijneBuitenweg	Buitenweg, Kathalijne	F	1970	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanMiddendorp	Middendorp, Jan	M	1975	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u11	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u12	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-06-18-tweedekamer-10	ParlaMint-NL_2020-06-18-tweedekamer-10.u13	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2020-06-18)	2020-06-18	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 85	Sitting 2020-06-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
