Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EmielvanDijk	van Dijk, Emiel	M	1985	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EmielvanDijk	van Dijk, Emiel	M	1985	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EmielvanDijk	van Dijk, Emiel	M	1985	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EmielvanDijk	van Dijk, Emiel	M	1985	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2020-01-22-tweedekamer-9	ParlaMint-NL_2020-01-22-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 44, Session 9 (2020-01-22)	2020-01-22	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 44	Sitting 2020-01-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
