Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-09-22-tweedekamer-7	ParlaMint-NL_2020-09-22-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 4, Session 7 (2020-09-22)	2020-09-22	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 4	Sitting 2020-09-22	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-22-tweedekamer-7	ParlaMint-NL_2020-09-22-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 4, Session 7 (2020-09-22)	2020-09-22	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 4	Sitting 2020-09-22	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2020-09-22-tweedekamer-7	ParlaMint-NL_2020-09-22-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 4, Session 7 (2020-09-22)	2020-09-22	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 4	Sitting 2020-09-22	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
