Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u1	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u2	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u3	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u4	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u5	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u6	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u7	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u8	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u9	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Guest	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u10	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-01-tweedekamer-40	ParlaMint-NL_2020-12-01-tweedekamer-40.u11	Report of the meeting of the Dutch Lower House, Meeting 31, Session 40 (2020-12-01)	2020-12-01	Lower house	Meeting of the 29th Tweede Kamer	Session 40	Meeting 31	Sitting 2020-12-01	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
