Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RudmerHeerema	Heerema, Rudmer	M	1978	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RudmerHeerema	Heerema, Rudmer	M	1978	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-23-tweedekamer-8	ParlaMint-NL_2020-09-23-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 5, Session 8 (2020-09-23)	2020-09-23	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 5	Sitting 2020-09-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
