Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u1	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u2	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u3	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u4	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u5	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u6	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	RoelWever	Wever, Roel	M	-	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u7	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u8	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	CarlaMoonen	Moonen, Carla	F	1963	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u9	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u10	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-05-26-eerstekamer-10	ParlaMint-NL_2020-05-26-eerstekamer-10.u11	Report of the meeting of the Dutch Upper House, Meeting 28, Session 10 (2020-05-26)	2020-05-26	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 28	Sitting 2020-05-26	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
