Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TomvandenNieuwenhuijzen	van den Nieuwenhuijzen, Tom	M	1989	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u14	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u15	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u16	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u17	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u18	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u19	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u20	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u21	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2020-10-13-tweedekamer-4	ParlaMint-NL_2020-10-13-tweedekamer-4.u22	Report of the meeting of the Dutch Lower House, Meeting 13, Session 4 (2020-10-13)	2020-10-13	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 13	Sitting 2020-10-13	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
