Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u1	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u2	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u3	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u4	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u5	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u6	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u7	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u8	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u9	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u10	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-07-02-tweedekamer-64	ParlaMint-NL_2020-07-02-tweedekamer-64.u11	Report of the meeting of the Dutch Lower House, Meeting 91, Session 64 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 64	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
