Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MustafaAmhaouch	Amhaouch, Mustafa	M	1970	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MustafaAmhaouch	Amhaouch, Mustafa	M	1970	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MustafaAmhaouch	Amhaouch, Mustafa	M	1970	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MustafaAmhaouch	Amhaouch, Mustafa	M	1970	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RoyvanAalst	van Aalst, Roy	M	1983	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RutgerSchonis	Schonis, Rutger	M	1976	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2020-10-06-tweedekamer-3	ParlaMint-NL_2020-10-06-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2020-10-06)	2020-10-06	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 10	Sitting 2020-10-06	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
