Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u1	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u2	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	MP	notMinister	CU	ChristenUnie	Coalition	Centre-right	StienekevanderGraaf	van der Graaf, Stieneke	F	1984	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u3	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	MP	notMinister	CU	ChristenUnie	Coalition	Centre-right	StienekevanderGraaf	van der Graaf, Stieneke	F	1984	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u4	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u5	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u6	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u7	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnneKuik	Kuik, Anne	F	1987	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u8	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u9	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u10	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-70	ParlaMint-NL_2020-07-02-tweedekamer-70.u11	Report of the meeting of the Dutch Lower House, Meeting 91, Session 70 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 70	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
