Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-05-09-upper	ParlaMint-NO_2006-05-09-upper.ana.ud2413e34	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-09	2006-05-09	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
ParlaMint-NO-en_2006-05-09-upper	ParlaMint-NO_2006-05-09-upper.ana.ud2413e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-09	2006-05-09	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
ParlaMint-NO-en_2006-05-09-upper	ParlaMint-NO_2006-05-09-upper.ana.ud2413e82	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-09	2006-05-09	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
