Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e42	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e51	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e82	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e95	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.PRH	Henriksen, Per Rune	M	1960	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e121	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e140	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e162	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.DAGS	Sundsbø, Dagfinn	M	1946	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e179	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ANNS	Skjelstad, André N.	M	1965	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e200	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2006-11-09-lower	ParlaMint-NO_2006-11-09-lower.ana.ud2529e227	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-09	2006-11-09	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
