Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e32	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e46	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ARLH	Haugen, Arne L.	M	1939	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e57	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e73	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e80	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HSK	Skumsvoll, Henning	M	1947	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e97	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BEHA	Arnesen, Bendiks H.	M	1951	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e112	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e120	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e153	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e163	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e216	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-14-lower	ParlaMint-NO_2006-03-14-lower.ana.ud461e226	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-14	2006-03-14	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-14	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
