Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-11-23-upper	ParlaMint-NO_2006-11-23-upper.ana.ud569e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-23	2006-11-23	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-23	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2006-11-23-upper	ParlaMint-NO_2006-11-23-upper.ana.ud569e93	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-23	2006-11-23	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-23	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2006-11-23-upper	ParlaMint-NO_2006-11-23-upper.ana.ud569e109	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-23	2006-11-23	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-23	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2006-11-23-upper	ParlaMint-NO_2006-11-23-upper.ana.ud569e125	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-23	2006-11-23	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-23	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2006-11-23-upper	ParlaMint-NO_2006-11-23-upper.ana.ud569e141	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-11-23	2006-11-23	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-11-23	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
