Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e31	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e57	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e126	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e170	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e181	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e190	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e201	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HAFA	Asmyhr, Hans Frode Kielland	M	1970	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e218	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e241	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.INVM	Malvik, Ingvild Vaggen	F	1971	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e262	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e283	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.LAPB	Brekk, Lars Peder	M	1955	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e299	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GBG	Gjerde, Gunn Berit	F	1954	
ParlaMint-NO-en_2006-02-14	ParlaMint-NO_2006-02-14.ana.ud669e320	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-02-14	2006-02-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-02-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUE	Eldegard, Gunvor	F	1963	
