Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e30	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e45	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e84	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KETS	Solvik-Olsen, Ketil	M	1972	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e106	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e113	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e120	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e129	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e136	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e145	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
