Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e29	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e50	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e59	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.LEJ	Jensen, Lena	F	1973	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e117	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.VL	Lysklætt, Vera	F	1954	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e128	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e157	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e166	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e172	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e177	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JF	Fredriksen, Jan-Henrik	M	1956	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e188	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANMB	Bjørnflaten, Anne Marit	F	1969	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e197	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e204	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-30-lower	ParlaMint-NO_2006-03-30-lower.ana.ud203e211	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-30	2006-03-30	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-30	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
