Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e28	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e36	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e39	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e44	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e56	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e61	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e89	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e94	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-09-29	ParlaMint-NO_2006-09-29.ana.ud436e376	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-09-29	2006-09-29	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-09-29	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
