Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-05-16-lower	ParlaMint-NO_2006-05-16-lower.ana.ud1996e42	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-16	2006-05-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-05-16-lower	ParlaMint-NO_2006-05-16-lower.ana.ud1996e497	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-16	2006-05-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-05-16-lower	ParlaMint-NO_2006-05-16-lower.ana.ud1996e507	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-16	2006-05-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-05-16-lower	ParlaMint-NO_2006-05-16-lower.ana.ud1996e579	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-05-16	2006-05-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
