Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e152	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e166	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e182	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e198	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e214	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e230	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e246	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e262	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e278	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e294	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-13-upper	ParlaMint-NO_2006-06-13-upper.ana.ud439e311	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-13	2006-06-13	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
