Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e128	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e140	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e170	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e186	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e202	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e218	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e234	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e250	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e266	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2006-06-16-upper	ParlaMint-NO_2006-06-16-upper.ana.ud2388e282	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-06-16	2006-06-16	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-06-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
