Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Guest	MP	notMinister	-	-	-	-	PetrSilar	Šilar, Petr	M	-	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	PetrTresnak.1983	Třešňák, Petr	M	1983	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2021-09-14-ps2017-118-01-007-007	ParlaMint-CZ_2021-09-14-ps2017-118-01-007-007.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-09-14	2021-09-14	Lower house	ps2017	-	ps2017/118	ps2017/118/01	ps2017/118/007	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
