Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-11-08-ps2021-001-01-004-004	ParlaMint-CZ_2021-11-08-ps2021-001-01-004-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-08	2021-11-08	Lower house	ps2021	-	ps2021/001	ps2021/001/01	ps2021/001/004	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-11-08-ps2021-001-01-004-004	ParlaMint-CZ_2021-11-08-ps2021-001-01-004-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-08	2021-11-08	Lower house	ps2021	-	ps2021/001	ps2021/001/01	ps2021/001/004	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-08-ps2021-001-01-004-004	ParlaMint-CZ_2021-11-08-ps2021-001-01-004-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-08	2021-11-08	Lower house	ps2021	-	ps2021/001	ps2021/001/01	ps2021/001/004	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
