Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Regular	notMP	Minister	-	-	-	-	MarieBenesova.1948	Benešová, Marie	F	1948	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-004-004	ParlaMint-CZ_2021-07-30-ps2017-115-01-004-004.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/004	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
