Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Regular	notMP	Minister	-	-	-	-	MarieBenesova.1948	Benešová, Marie	F	1948	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2021-06-18-ps2017-104-10-007-025	ParlaMint-CZ_2021-06-18-ps2017-104-10-007-025.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-18	2021-06-18	Lower house	ps2017	-	ps2017/104	ps2017/104/10	ps2017/104/025	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
