Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u12	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2021-06-16-ps2017-104-08-020-396	ParlaMint-CZ_2021-06-16-ps2017-104-08-020-396.u13	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-16	2021-06-16	Lower house	ps2017	-	ps2017/104	ps2017/104/08	ps2017/104/396	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
