Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	RomanSklenak.1970	Sklenák, Roman	M	1970	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	HanaAulickaJirovcova.1981	Aulická Jírovcová, Hana	F	1981	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanBauer.1969	Bauer, Jan	M	1969	
ParlaMint-CZ-en_2021-07-30-ps2017-115-01-003-003	ParlaMint-CZ_2021-07-30-ps2017-115-01-003-003.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-30	2021-07-30	Lower house	ps2017	-	ps2017/115	ps2017/115/01	ps2017/115/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
