Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-12-14-ps2021-004-01-001-009	ParlaMint-CZ_2021-12-14-ps2021-004-01-001-009.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-14	2021-12-14	Lower house	ps2021	-	ps2021/004	ps2021/004/01	ps2021/004/009	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
