Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Regular	notMP	Minister	-	-	-	-	MarieBenesova.1948	Benešová, Marie	F	1948	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	DominikFeri.1996	Feri, Dominik	M	1996	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	DominikFeri.1996	Feri, Dominik	M	1996	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	LubomirSpanel.1955	Španěl, Lubomír	M	1955	
ParlaMint-CZ-en_2021-01-29-ps2017-079-06-008-067	ParlaMint-CZ_2021-01-29-ps2017-079-06-008-067.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-01-29	2021-01-29	Lower house	ps2017	-	ps2017/079	ps2017/079/06	ps2017/079/067	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
