Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u12	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Guest	MP	Minister	ANO	Political group ANO 2011	-	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u13	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u14	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u15	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u16	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u17	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u18	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-012-029	ParlaMint-CZ_2021-11-26-ps2021-002-02-012-029.u19	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/029	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
