Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Regular	notMP	Minister	-	-	-	-	AdamVojtech.1986	Vojtěch, Adam	M	1986	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-26-ps2021-002-02-000-000	ParlaMint-CZ_2021-11-26-ps2021-002-02-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-26	2021-11-26	Lower house	ps2021	-	ps2021/002	ps2021/002/02	ps2021/002/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
