Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-07-17-S1-commons	ParlaMint-GR_2019-07-17-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 1, 2019-07-17	2019-07-17	Unicameralism	18	1	-	1	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
