Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2018-09-27	ParlaMint-BG_2018-09-27.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 5, Meeting 178 (2018-09-27)	2018-09-27	Unicameralism	Четиридесет и четвърто народно събрание	5 парламентарна сесия	178 пленарно заседание	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2018-09-27	ParlaMint-BG_2018-09-27.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 5, Meeting 178 (2018-09-27)	2018-09-27	Unicameralism	Четиридесет и четвърто народно събрание	5 парламентарна сесия	178 пленарно заседание	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2018-09-27	ParlaMint-BG_2018-09-27.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 5, Meeting 178 (2018-09-27)	2018-09-27	Unicameralism	Четиридесет и четвърто народно събрание	5 парламентарна сесия	178 пленарно заседание	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
