Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-0	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-7	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q897282	Olin, Kristina Axén	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-12	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-18	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q897282	Olin, Kristina Axén	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-24	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-32	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q897282	Olin, Kristina Axén	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-37	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-40	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-45	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71545861	Grubb, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-54	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-61	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71545861	Grubb, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-71	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-76	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71545861	Grubb, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-80	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-84	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-88	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168821	Berglund, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-98	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-113	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168821	Berglund, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-127	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-143	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168821	Berglund, Jörgen	M	-	
ParlaMint-SE-en_2021-09-17-prot-202122--5	i-ddf0804df8911544-150	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 5	2021-09-17	Unicameralism	2021/22	-	-	2021/22--5	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
