Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-0	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-1	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4941329	Busch, Ebba	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-21	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-33	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4958102	Karlsson, Annelie	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-48	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q439393	Lööf, Annie	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-56	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3112958	Billström, Tobias	M	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-68	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q518776	Åkesson, Jimmie	M	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-77	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-91	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18238235	Dadgostar, Nooshi	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-99	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18242588	Hirvonen, Annika	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-116	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-7kHB725NvFgXZAbUDciA3W	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-B5LsMM5sSud3NX8gc2nsJH	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-DR7N1MoFbAT8sFimVJVj8X	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-121	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-133	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2021-11-24-prot-202122--33	i-4c74881522ca254f-158	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 33	2021-11-24	Unicameralism	2021/22	-	-	2021/22--33	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
