Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-10	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-17	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-24	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-35	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-44	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-51	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-55	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-62	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-04-23-prot-202021--113	i-180a481a6cfda225-66	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 113	2021-04-23	Unicameralism	2020/21	-	-	2020/21--113	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
