Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e41	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e50	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e84	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TO	Opheim, Torfinn	M	1961	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e114	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.ANA	Anundsen, Anders	M	1975	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e144	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.LEJ	Jensen, Lena	F	1973	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e167	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DE	Eriksen, Dagrun	F	1971	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e217	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ESAN	Sande, Erling	M	1978	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e232	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e258	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e283	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e299	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e308	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.MAGE	Eia, Magnhild	F	1960	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e348	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DE	Eriksen, Dagrun	F	1971	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e360	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e374	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e382	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e500	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e510	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-12-05-lower	ParlaMint-NO_2008-12-05-lower.ana.ud1462e557	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-05	2008-12-05	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
