Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-03-06-lower	ParlaMint-NO_2008-03-06-lower.ana.ud931e24	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-06	2008-03-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-06	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2008-03-06-lower	ParlaMint-NO_2008-03-06-lower.ana.ud931e34	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-06	2008-03-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BEHA	Arnesen, Bendiks H.	M	1951	
ParlaMint-NO-en_2008-03-06-lower	ParlaMint-NO_2008-03-06-lower.ana.ud931e45	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-06	2008-03-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-06	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2008-03-06-lower	ParlaMint-NO_2008-03-06-lower.ana.ud931e243	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-06	2008-03-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-06	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2008-03-06-lower	ParlaMint-NO_2008-03-06-lower.ana.ud931e253	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-06	2008-03-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-06	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
