Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e18	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e238	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e241	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HAFA	Asmyhr, Hans Frode Kielland	M	1970	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e248	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e251	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BÅH	Hoksrud, Bård	M	1973	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e256	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e259	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e265	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e268	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BÅH	Hoksrud, Bård	M	1973	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e275	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e449	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e455	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e470	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e530	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e533	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANMB	Bjørnflaten, Anne Marit	F	1969	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e554	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e580	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AC	Chaudhry, Akhtar	M	1961	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e601	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e616	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ESAN	Sande, Erling	M	1978	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e630	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e651	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e666	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2008-09-22	ParlaMint-NO_2008-09-22.ana.ud861e677	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-22	2008-09-22	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-22	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
