Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e40	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e47	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e83	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e93	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e116	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e119	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e126	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e131	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-12-09-lower	ParlaMint-NO_2008-12-09-lower.ana.ud2669e141	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-12-09	2008-12-09	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-12-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
