Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e35	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e42	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VKG	Giltun, Vigdis	F	1952	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e74	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUO	Olsen, Gunn	F	1952	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e92	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e107	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e110	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e115	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e118	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e137	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2008-05-08-lower	ParlaMint-NO_2008-05-08-lower.ana.ud2513e153	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GUNL	Ludvigsen, Gunvald	M	1949	
