Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e40	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ALJA	Jakobsen, Alf E.	M	1952	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e102	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e113	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e129	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e140	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e148	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e496	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e506	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-06-06-lower	ParlaMint-NO_2008-06-06-lower.ana.ud1858e583	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-06	2008-06-06	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
