Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e35	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e38	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e43	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e56	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e63	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e80	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e95	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.STK	Khan, Saera	F	1979	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e106	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e115	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e125	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2008-04-01-lower	ParlaMint-NO_2008-04-01-lower.ana.ud772e208	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-04-01	2008-04-01	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-04-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
