Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e39	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e48	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TLOD	Lode, Trond	M	1974	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e67	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UEK	Knudsen, Ulf Erik	M	1964	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e78	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e104	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e112	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e158	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e168	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-02-26-lower	ParlaMint-NO_2008-02-26-lower.ana.ud998e189	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-02-26	2008-02-26	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
