Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e50	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e64	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e94	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e109	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e124	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-03-13-upper	ParlaMint-NO_2008-03-13-upper.ana.ud441e139	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-03-13	2008-03-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-03-13	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
