Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-05-08-upper	ParlaMint-NO_2008-05-08-upper.ana.ud563e45	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-05-08-upper	ParlaMint-NO_2008-05-08-upper.ana.ud563e58	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-05-08-upper	ParlaMint-NO_2008-05-08-upper.ana.ud563e73	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-05-08-upper	ParlaMint-NO_2008-05-08-upper.ana.ud563e88	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
