Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u1	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u2	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u3	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u4	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	AnteroLaukkanen	Laukkanen, Antero	M	1958	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u5	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	MariaGuzenina	Guzenina, Maria	F	1969	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u6	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	KatjaHänninen	Hänninen, Katja	F	1980	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u7	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	SatuTaavitsainen	Taavitsainen, Satu	F	1977	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u8	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u9	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2016-04-08-ps-35	ParlaMint-FI_2016-04-08-ps-35.u10	Minutes of the Finnish Parliament's plenary session 35/2016, 2016-04-08	2016-04-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 35	2016-04-08	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	ArjaJuvonen	Juvonen, Arja	F	1967	
