Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27629	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27630	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27631	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ŠabićRodoljub	Šabić, Rodoljub	M	1955	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27632	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27633	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MihajlovDejan	Mihajlov, Dejan	M	1972	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27634	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27635	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	ObradovićŽarko	Obradović, Žarko	M	1960	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27636	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27637	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ŠabićRodoljub	Šabić, Rodoljub	M	1955	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27638	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27639	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	PopLazićGordana	Pop-Lazić, Gordana	F	1956	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27640	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27641	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	PajtićBojan	Pajtić, Bojan	M	1970	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27642	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27643	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27644	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27645	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	MirčićMilorad	Mirčić, Milorad	M	1956	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27646	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27647	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	PajtićBojan	Pajtić, Bojan	M	1970	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27648	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27649	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	AnđelkovićZoran	Anđelković, Zoran	M	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27650	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2003-04-01-0	ParlaMint-RS_2003-04-01-0.u27652	Term 5, Meeting 2	2003-04-01	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	AleksićBojana	Aleksić, Bojana	F	1961	
