Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	BensJan	Bens, Jan	U	-	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	SomersIne	Somers, Ine	F	1971	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-09-03-54-commissie-ic004x	ParlaMint-BE_2014-09-03-54-commissie-ic004x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-09-2014	2014-09-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Coalition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
