Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Coalition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PP	Parti Populaire	-	Right to far-right	CarcaciAldo	Carcaci, Aldo	M	1949	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-10-01-54-commissie-ic009x	ParlaMint-BE_2014-10-01-54-commissie-ic009x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-10-2014	2014-10-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
