Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x	ParlaMint-BE_2014-11-26-54-commissie-ic030x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-11-2014	2014-11-26	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
