Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66202	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	BogS	Bogata Srbija	Coalition	Right to far-right	TrnavčevićZaharije	Trnavčević, Zaharije	M	1926	
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66204	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66205	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	BogS	Bogata Srbija	Coalition	Right to far-right	TrnavčevićZaharije	Trnavčević, Zaharije	M	1926	
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66206	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66207	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	BogS	Bogata Srbija	Coalition	Right to far-right	TrnavčevićZaharije	Trnavčević, Zaharije	M	1926	
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66208	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2012-05-31-0	ParlaMint-RS_2012-05-31-0.u66209	Term 8, Meeting 1	2012-05-31	Unicameralism	8. mandat	-	Zasedanje 1	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	BogS	Bogata Srbija	Coalition	Right to far-right	TrnavčevićZaharije	Trnavčević, Zaharije	M	1926	
