Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	LenkaDrazilova.1963	Dražilová, Lenka	F	1963	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavFaltynek.1962	Faltýnek, Jaroslav	M	1962	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	LenkaDrazilova.1963	Dražilová, Lenka	F	1963	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2020-09-30-ps2017-058-06-003-272	ParlaMint-CZ_2020-09-30-ps2017-058-06-003-272.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-30	2020-09-30	Lower house	ps2017	-	ps2017/058	ps2017/058/06	ps2017/058/272	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
