Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PavelZacek.1969	Žáček, Pavel	M	1969	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	ZdenekOndracek.1969	Ondráček, Zdeněk	M	1969	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	PavelRuzicka.1970	Růžička, Pavel	M	1970	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	ZdenekOndracek.1969	Ondráček, Zdeněk	M	1969	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	PavelRuzicka.1970	Růžička, Pavel	M	1970	
ParlaMint-CZ-en_2020-12-04-ps2017-072-04-007-350	ParlaMint-CZ_2020-12-04-ps2017-072-04-007-350.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-04	2020-12-04	Lower house	ps2017	-	ps2017/072	ps2017/072/04	ps2017/072/350	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
