Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Guest	MP	notMinister	-	-	-	-	JaroslavVetrovsky	Větrovský, Jaroslav	M	-	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanRehounek.1974	Řehounek, Jan	M	1974	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	MikulasFerjencik.1987	Ferjenčík, Mikuláš	M	1987	
ParlaMint-CZ-en_2020-03-03-ps2017-041-01-002-001	ParlaMint-CZ_2020-03-03-ps2017-041-01-002-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-03-03	2020-03-03	Lower house	ps2017	-	ps2017/041	ps2017/041/01	ps2017/041/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
