Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TerezaHythova.1995	Hyťhová, Tereza	F	1995	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MiloslavaRutova.1947	Rutová, Miloslava	F	1947	
ParlaMint-CZ-en_2020-01-31-ps2017-040-08-009-072	ParlaMint-CZ_2020-01-31-ps2017-040-08-009-072.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-31	2020-01-31	Lower house	ps2017	-	ps2017/040	ps2017/040/08	ps2017/040/072	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
