Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	MiloslavaVostra.1965	Vostrá, Miloslava	F	1965	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	MiloslavaVostra.1965	Vostrá, Miloslava	F	1965	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	MiloslavaVostra.1965	Vostrá, Miloslava	F	1965	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	MiloslavaVostra.1965	Vostrá, Miloslava	F	1965	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2020-04-08-ps2017-044-02-006-004	ParlaMint-CZ_2020-04-08-ps2017-044-02-006-004.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-08	2020-04-08	Lower house	ps2017	-	ps2017/044	ps2017/044/02	ps2017/044/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
