Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	FrantisekNavrkal.1992	Navrkal, František	M	1992	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2020-12-01-ps2017-072-01-009-013	ParlaMint-CZ_2020-12-01-ps2017-072-01-009-013.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-01	2020-12-01	Lower house	ps2017	-	ps2017/072	ps2017/072/01	ps2017/072/013	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
