Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	MikulasFerjencik.1987	Ferjenčík, Mikuláš	M	1987	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2020-04-22-ps2017-045-02-001-010	ParlaMint-CZ_2020-04-22-ps2017-045-02-001-010.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-04-22	2020-04-22	Lower house	ps2017	-	ps2017/045	ps2017/045/02	ps2017/045/010	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
