Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MarcelaMelkova.1971	Melková, Marcela	F	1971	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	ZdenekPodal.1953	Podal, Zdeněk	M	1953	
ParlaMint-CZ-en_2020-10-21-ps2017-062-02-003-002	ParlaMint-CZ_2020-10-21-ps2017-062-02-003-002.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-21	2020-10-21	Lower house	ps2017	-	ps2017/062	ps2017/062/02	ps2017/062/002	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
