Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	LukasCernohorsky.1984	Černohorský, Lukáš	M	1984	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	LukasCernohorsky.1984	Černohorský, Lukáš	M	1984	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-06-03-ps2017-049-06-006-299	ParlaMint-CZ_2020-06-03-ps2017-049-06-006-299.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-03	2020-06-03	Lower house	ps2017	-	ps2017/049	ps2017/049/06	ps2017/049/299	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
