Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	MartinJiranek.1978	Jiránek, Martin	M	1978	
ParlaMint-CZ-en_2020-01-24-ps2017-040-04-007-028	ParlaMint-CZ_2020-01-24-ps2017-040-04-007-028.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-24	2020-01-24	Lower house	ps2017	-	ps2017/040	ps2017/040/04	ps2017/040/028	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
